URL handle,Title,Description,Vendor,Product category,Type,Tags,Published on online store,Status,Option1 name,Option1 value,SKU,Barcode,Price,Compare-at price,Cost per item,Charge tax,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Gift card,SEO title,SEO description,Collection,Ingredients (product.metafields.custom.ingredients),Depth (product.metafields.custom.depth),Width (product.metafields.custom.width),Height (product.metafields.custom.height)
filter-cartridge-sc779-rising-dragon-plastics-eago-whirlpools-spa-components,"Filter Cartridge SC779 - Rising Dragon Plastics, EAGO Whirlpools - Spa Components","A cartridge filter for hot tubs and swim spas, measuring 26.0 cm outer diameter, 13.0 cm bottom part, and 3.8 cm inner thread. Compatible with Darlly SC779 and 40372 codes, it captures dirt, grease, and fine particles to keep water clean.",Rising Dragon,hg-18-1-3-1,Filter cartridge,"filters, spa-hot-tub, repeat-purchase, barcode-verified, multi-source-confirmed, needs-review, scanned-stock",false,draft,Title,Default Title,RIS-FIL-2406,700175992406,,,,true,shopify,999,deny,,kg,true,manual,https://www.spa-components.com/user/shop/big/1473-1_filter-cartridge-sc779-rising-dragon-plastics--eago-whirlpools.jpg?ff=1&x=1024&y=768&q=85&ts=6720c4a0&sg=161563f2,1,"Filter Cartridge SC779 - Rising Dragon Plastics, EAGO Whirlpools - Spa Components",false,,,Filter cartridges and filter media for water pumps,,,,
filter-cartridge-size-ii-double-pack-10-6-x-13-6-cm-58094-26,"Filter cartridge Size II double pack, 10.6 x 13.6 cm | 58094_26","A twin pack of Size II replacement filter cartridges measuring 10.6 x 13.6 cm, designed for compatible pool and spa filtration systems. The fine lamellar structure delivers thorough water cleaning and the cartridges are easy to rinse clean.",,hg-18-1-3-1,Filter cartridge,"filters, repeat-purchase, barcode-verified, multi-source-confirmed, needs-review, scanned-stock",false,draft,Title,Default Title,GEN-FIL-3615,6941607353615,,,,true,shopify,999,deny,,kg,true,manual,https://www.bestwaystore.de/media/c6/f8/ba/1756384660/6941607353615-main-jpg.jpg?ts=1756384660,1,"Filter cartridge Size II double pack, 10.6 x 13.6 cm | 58094_26",false,,,Filter cartridges and filter media for water pumps,,,10.6cm,13.6cm
bestway-flowcleartm-filter-cartridge-size-3-1-item,"Bestway Flowclear™ Filter Cartridge Size 3, 1 item","A single Flowclear Size 3 replacement filter cartridge for compatible Bestway pool filtration systems, featuring a fine lamellar structure that traps deposits and dirt effectively. Easy to clean and straightforward to swap out when routine maintenance is due.",Bestway,hg-18-1-3-1,Filter cartridge,"filters, water-treatment, repeat-purchase, barcode-verified, multi-source-confirmed, needs-review, scanned-stock",false,draft,Title,Default Title,BES-FIL-3592,6941607353592,,,,true,shopify,999,deny,,kg,true,manual,https://ap.nice-cdn.com/upload/image/product/large/default/bestway-flowclear-filter-cartridge-size-3-1-item-638140-en.jpg,1,"Bestway Flowclear™ Filter Cartridge Size 3, 1 item",false,,,Filter cartridges and filter media for water pumps,,,,
darlly-hot-tub-spa-filter-sc705-40353-compatible-with-unicel-c-4335-prb35-in-fil,Darlly Hot Tub Spa Filter SC705 40353 Compatible with Unicel C-4335 PRB35-IN Filbur FC-2385 2 Pack,"A two-pack of compatible hot tub and spa cartridge filters corresponding to Unicel C-4335, Pleatco PRB35-IN, and Filbur FC-2385 references. A handy spare-pair to keep on hand so your tub is never without a fresh filter.",Darlly,hg-18-1-3-1,Filter cartridge,"filters, spa-hot-tub, repeat-purchase, barcode-verified, multi-source-confirmed, needs-review, scanned-stock",false,draft,Title,Default Title,DAR-FIL-1669,700175991669,,,,true,shopify,999,deny,,kg,true,manual,https://images.barcodelookup.com/29361/293617958-1.jpg,1,Darlly Hot Tub Spa Filter SC705 40353 Compatible with Unicel C-4335 PRB35-IN Filbur FC-2385 2 Pack,false,,,Filter cartridges and filter media for water pumps,,,,
filter-cartridge-size-iv-14-2-x-25-4-cm-58095-26,Filter cartridge Size IV 14.2 x 25.4 cm | 58095_26,"A single Size IV replacement filter cartridge measuring 14.2 x 25.4 cm, compatible with Bestway filter pump 58391 (9,463 l/h). Its deep-fold, fine-structure media delivers thorough water cleaning and can be rinsed clean with minimal effort.",,hg-18-1-3-1,Filter cartridge,"filters, repeat-purchase, barcode-verified, multi-source-confirmed, needs-review, scanned-stock",false,draft,Title,Default Title,GEN-FIL-3622,6941607353622,,,,true,shopify,999,deny,,kg,true,manual,https://www.bestwaystore.de/media/53/6c/e9/1756384676/6941607353622-main-jpg.jpg?ts=1756384676,1,Filter cartridge Size IV 14.2 x 25.4 cm | 58095_26,false,,,Filter cartridges and filter media for water pumps,,,14.2cm,25.4cm
darlly-spa-filter-c-4401-prb17-5sf-pr-sc726-pair,"Darlly Spa Filter C-4401, PRB17.5SF PR, SC726 (Pair)","A pair of Darlly spa filter cartridges in the SC726 reference, also cross-referenced as Unicel C-4401 and Pleatco PRB17.5SF PR. Buying in pairs means a fresh replacement is always ready when it is time to swap.",Darlly,hg-18-1-3-1,Filter cartridge,"filters, spa-hot-tub, repeat-purchase, barcode-verified, multi-source-confirmed, needs-review, scanned-stock",false,draft,Title,Default Title,DAR-FIL-1874,700175991874,,,,true,shopify,999,deny,,kg,true,manual,https://images.barcodelookup.com/4378/43786454-1.jpg,1,"Darlly Spa Filter C-4401, PRB17.5SF PR, SC726 (Pair)",false,,,Filter cartridges and filter media for water pumps,,,,
hot-tub-filter-unicel-c4950-c-4950-50-spa-cartridge-pleatco-prb501n-darlly-40506,"Hot Tub Filter Unicel C4950 / C-4950 50' Spa Cartridge Pleatco PRB501N Darlly 40506 for Arctic, Beachcomber, Canadian, Hydropool & Jacuzzi Spas","A replacement spa filter cartridge compatible with Arctic, Beachcomber, Canadian, Hydropool and Jacuzzi spas, sold under cross-reference codes including Unicel C-4950, Pleatco PRB50-IN and Darlly 40506. It keeps hot tub water clean by trapping debris and particles as water cycles through the filtration system.",Darlly,hg-18-1-3-1,Filter cartridge,"filters, spa-hot-tub, repeat-purchase, barcode-verified, multi-source-confirmed, needs-review, scanned-stock",false,draft,Title,Default Title,DAR-FIL-1676,700175991676,,,,true,shopify,999,deny,,kg,true,manual,https://images.barcodelookup.com/4469/44699532-1.jpg,1,"Hot Tub Filter Unicel C4950 / C-4950 50' Spa Cartridge Pleatco PRB501N Darlly 40506 for Arctic, Beachcomber, Canadian,…",false,,,Filter cartridges and filter media for water pumps,,,,
calacatta-4-person-inflatable-spa,Calacatta 4-person inflatable spa,"A square inflatable hot tub for up to four people, with an overall outer diameter of 2.45 m and a structure measuring 1.75 x 1.75 x 0.71 m, built from high-resistance polyester for good rigidity and durability. The packaged weight is 64.92 kg, so you will want a helper on delivery day.",,hg-18-4,Inflatable spa,"spa-hot-tub, considered-purchase, barcode-verified, multi-source-confirmed, needs-review, scanned-stock",false,draft,Title,Default Title,GEN-SPA-3395,6941057423395,,,,true,shopify,999,deny,64920,kg,true,manual,https://media.intex.fr/7743-large_default_x2/28464ex-spa-gonflable-calacatta-4-places.jpg,1,Calacatta 4-person inflatable spa,false,,,Hot Tubs,,175.0cm,175.0cm,71.0cm
hth-stabilizer-granulat-3-0-kg,"Hth Stabilizer Granulat 3,0 Kg","A 3.0 kg tub of hth stabiliser granules for outdoor swimming pools, used to protect chlorine from UV degradation and extend its effectiveness. A reliable way to get more mileage from your sanitiser on sunny days.",hth,hg-18-1-7,Pool chemical,"water-treatment, repeat-purchase, barcode-verified, needs-review, scanned-stock",false,draft,Title,Default Title,HTH-CHM-5716,3521686005716,,,,true,shopify,999,deny,3000,kg,true,manual,https://images.barcodelookup.com/12027/120276177-1.jpg,1,"Hth Stabilizer Granulat 3,0 Kg",false,,,Water Chemicals and Chlorine,,,,
1-l-hth-spa-antikalk,1 l - hth® Spa ANTIKALK,"A 1-litre bottle of hth Spa Antikalk, formulated to prevent and remove limescale in spa and hot tub water. Keeping scale under control helps protect internal components and maintain water clarity.",hth,hg-18-4,Inflatable spa,"spa-hot-tub, considered-purchase, barcode-verified, needs-review, scanned-stock",false,draft,Title,Default Title,HTH-SPA-0194,3521684700194,,,,true,shopify,999,deny,,kg,true,manual,https://www.north-spa.de/wp-content/uploads/2025/02/Produktbild-1-hth-SPA-ANTIKALK-1-l-3521684700194-360x360.jpg,1,1 l - hth® Spa ANTIKALK,false,,,Hot Tubs,,,,
